,Event.Id,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Aircraft_Model
18934,20181109X65232,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,CESSNA A185
18935,20181109X90757,2.0,Fatal,1,0,0.0,Personal,IMC,CESSNA 310
18936,20181110X83525,1.0,Fatal,4,0,0.0,Personal,VMC,PIPER PA28
18937,20181113X04447,2.0,,0,0,0.0,,,BOEING 757
18938,20181109X35706,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,CESSNA 206
18939,20181111X11841,1.0,Non-Fatal,0,0,0.0,Personal,VMC,MOONEY M20C
18940,20181113X10748,,Non-Fatal,0,0,2.0,Personal,VMC,VANS RV7A
18941,20181111X13212,1.0,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA28R
18942,20181112X03415,,Non-Fatal,0,0,2.0,,,EMBRAER 190
18943,20181112X51401,1.0,Non-Fatal,0,1,0.0,Personal,VMC,CESSNA 172
18944,20181112X51649,2.0,Non-Fatal,0,0,0.0,Personal,VMC,AERO COMMANDER 690
18945,20181112X61606,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,CESSNA 172
18946,20181211X01921,,Fatal,0,0,2.0,,,CESSNA T206H
18947,20181113X74218,1.0,Non-Fatal,0,0,1.0,Personal,VMC,EUGENE WELLS DRAGON FLY-B
18948,20181114X14927,1.0,Non-Fatal,0,0,1.0,Personal,VMC,PIPER PA28
18949,20181114X54420,1.0,Non-Fatal,0,1,1.0,Personal,VMC,BEECH 36
18950,20181115X55126,1.0,Non-Fatal,0,0,1.0,Aerial Application,,PIPER PA25
18951,20181115X30855,1.0,Fatal,2,0,0.0,Personal,IMC,CESSNA 182
18952,20181116X04602,1.0,Fatal,2,0,0.0,Personal,VMC,ZENITH CH601
18953,20181117X93912,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 182
18954,20181119X83718,1.0,Non-Fatal,0,1,0.0,Personal,VMC,CESSNA E162
18955,20181117X84920,1.0,Fatal,2,0,0.0,Personal,VMC,NORTH AMERICAN P51
18956,20181117X92748,,Fatal,1,0,0.0,Instructional,VMC,LANCAIR LEGACY RG
18957,20181117X94409,1.0,Fatal,1,0,0.0,Instructional,VMC,VANS RV-12
18958,20181118X65851,1.0,Non-Fatal,0,0,2.0,Personal,VMC,PIPER PA32R
18959,20181118X65853,2.0,Fatal,2,0,0.0,Personal,IMC,BEECH 55
18960,20181118X91509,1.0,Non-Fatal,0,2,2.0,Instructional,VMC,PIPER PA28
18961,20181118X92344,1.0,Non-Fatal,0,1,0.0,Personal,VMC,ULTRALITE SRO STINGSPORT
18962,20181120X94255,1.0,Non-Fatal,0,2,0.0,Personal,VMC,SCOTTISH AVIATION SERIES 100 MDL 101
18963,20190716X03917,,Fatal,2,0,0.0,,,SOCATA TB20
18964,20210401102850,,Non-Fatal,0,0,150.0,,,BOEING 737
18965,20181118X11853,1.0,Non-Fatal,0,0,2.0,Personal,VMC,JABIRU J230-SP
18966,20181119X83401,2.0,Fatal,3,0,0.0,Positioning,VMC,CESSNA 441
18967,20181119X93520,1.0,Non-Fatal,0,0,3.0,Personal,VMC,PIPER PA46
18968,20181226X04417,,Fatal,2,0,0.0,,,CESSNA 172
18969,20181119X70304,1.0,Non-Fatal,0,0,2.0,Flight Test,VMC,BKF BACKCOUNTRY SUPERCUB
18970,20181120X12524,1.0,Non-Fatal,0,0,4.0,Personal,VMC,SILVEIRA JONATHAN A SONEX
18971,20181121X94223,1.0,Non-Fatal,0,0,3.0,Instructional,VMC,PIPER PA28
18972,20181130X82212,1.0,Non-Fatal,0,2,0.0,Personal,VMC,CESSNA 172
18973,20181121X54632,1.0,Non-Fatal,0,0,1.0,Ferry,VMC,CIRRUS SR22
18974,20181126X43959,1.0,Fatal,2,0,0.0,Unknown,VMC,CESSNA TU206
18975,20181126X13908,1.0,Non-Fatal,0,0,3.0,Instructional,VMC,CESSNA 172
18976,20181126X95421,,Non-Fatal,0,0,127.0,,,BOEING 737
18977,20181123X24612,1.0,Non-Fatal,0,0,2.0,Personal,VMC,BELLANCA 7GCBC
18978,20181126X52513,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 172
18979,20181126X53801,1.0,Non-Fatal,0,0,1.0,Personal,VMC,BEECH A36
18980,20181126X54237,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CIRRUS SR22
18981,20190206X65236,,Fatal,5,0,0.0,,,CESSNA U206
18982,20181124X14130,1.0,Non-Fatal,0,1,0.0,,,CESSNA 208
18983,20181125X85246,1.0,Non-Fatal,0,0,1.0,Personal,VMC,BEECH C23
18984,20190129X85840,,,0,0,0.0,,,BOEING 737
18985,20181126X63346,1.0,Non-Fatal,0,0,1.0,Personal,VMC,DARREN M. VINELLI SOPWITH PUP
18986,20181130X81333,,Fatal,4,0,0.0,,,CESSNA 525
18987,20181203X05042,,,0,0,0.0,,,BOEING 767
18988,20181126X35126,1.0,Fatal,1,0,0.0,Positioning,VMC,MOONEY M20C
18989,20181129X52853,1.0,Non-Fatal,0,2,0.0,Personal,VMC,CESSNA 172
18990,20181128X42306,1.0,Non-Fatal,0,0,1.0,Aerial Application,VMC,AIR TRACTOR AT 502
18991,20181128X44044,1.0,Non-Fatal,0,1,3.0,Aerial Observation,VMC,CESSNA 172
18992,20181128X44827,1.0,Non-Fatal,0,2,0.0,Instructional,VMC,CIRRUS SR20
18993,20181128X85901,1.0,Non-Fatal,0,0,7.0,Personal,VMC,PILATUS PC12
18994,20181128X93322,1.0,Non-Fatal,0,0,0.0,Personal,VMC,PIPER PA28
18995,20181129X43605,2.0,Non-Fatal,0,0,2.0,Personal,VMC,SMITH AEROSTAR601
18996,20181130X13652,,Non-Fatal,0,0,44.0,,,BOEING 737
18997,20181129X30228,1.0,Non-Fatal,0,2,0.0,Personal,VMC,CIRRUS SR22
18998,20181129X63138,1.0,Non-Fatal,0,0,1.0,Personal,VMC,PIPER PA 12
18999,20181129X70430,2.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA 30
19000,20181130X14309,,Non-Fatal,0,0,0.0,,,CESSNA U206
19001,20181130X14057,1.0,Fatal,1,0,0.0,Personal,VMC,CESSNA 210
19002,20181130X31617,2.0,Fatal,3,0,0.0,Business,IMC,CESSNA 525
19003,20181130X80724,2.0,Non-Fatal,0,9,2.0,Business,IMC,CESSNA 550
19004,20181208X92203,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,PIPER J4
19005,20190114X05809,1.0,Fatal,2,0,0.0,,,CESSNA 210
